id,updatedAt,data
khurais,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""خريص"", ""nameEn"": ""Khurais"", ""cityId"": ""riyadh"", ""managerName"": ""Omran"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 0}"
yarmouk,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""اليرموك"", ""nameEn"": ""Al Yarmouk"", ""cityId"": ""riyadh"", ""managerName"": """", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 1}"
qurtubah,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""قرطبة"", ""nameEn"": ""Qurtubah"", ""cityId"": ""riyadh"", ""managerName"": ""Abdo"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 2}"
wins-cafe,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""ونس كافيه"", ""nameEn"": ""WINS Cafe"", ""cityId"": ""riyadh"", ""managerName"": ""Ahmed Adel"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 3}"
drive-nadwah,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""درايف الندوة"", ""nameEn"": ""Al Nadwah Drive-Thru"", ""cityId"": ""riyadh"", ""managerName"": ""Mahmoud Salah"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 4}"
drive-janadriyah,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""درايف الجنادرية"", ""nameEn"": ""Al Janadriyah Drive-Thru"", ""cityId"": ""riyadh"", ""managerName"": """", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 5}"
drive-marmar,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""درايف المرمر"", ""nameEn"": ""Al Marmar Drive-Thru"", ""cityId"": ""riyadh"", ""managerName"": ""Amr Beshir"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 6}"
drive-muheet,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""درايف المحيط"", ""nameEn"": ""Al Muheet Drive-Thru"", ""cityId"": ""riyadh"", ""managerName"": ""Mohamed Abdelmonem"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 7}"
drive-maali,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""درايف المعالي"", ""nameEn"": ""Al Maali Drive-Thru"", ""cityId"": ""riyadh"", ""managerName"": ""Raqeeb"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 8}"
drive-aziziyah,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""درايف العزيزية"", ""nameEn"": ""Al Aziziyah Drive-Thru"", ""cityId"": ""riyadh"", ""managerName"": ""Abdullah"", ""areaManagerName"": ""Mohamed Nasr"", ""collectorName"": ""Mohamed Nasr"", ""active"": true, ""order"": 9}"
hq-office,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""مكتب الادارة"", ""nameEn"": ""Management Office"", ""cityId"": ""riyadh"", ""managerName"": ""Sobhy"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 10}"
warehouse,2026-09-26T14:43:29.786868+00:00,"{""nameAr"": ""المخزن الرئيسي"", ""nameEn"": ""Main Warehouse"", ""cityId"": ""riyadh"", ""managerName"": ""Hesham"", ""areaManagerName"": ""Ahmed Adel"", ""collectorName"": ""Ahmed Hael"", ""active"": true, ""order"": 11}"
